Array size,Selection - 0 to 5,Bubble (simple) - 0 to 5,Bubble (Iverson 1) - 0 to 5,Bubble (Iverson 1-2) - 0 to 5,Insertion (simple) - 0 to 5,Insertion (binary) - 0 to 5,Count (stable) - 0 to 5,Radix - 0 to 5,Merge - 0 to 5,Quick (Hoare) - 0 to 5,Quick (Lomuto) - 0 to 5,Heap - 0 to 5,Selection - 0 to 4000,Bubble (simple) - 0 to 4000,Bubble (Iverson 1) - 0 to 4000,Bubble (Iverson 1-2) - 0 to 4000,Insertion (simple) - 0 to 4000,Insertion (binary) - 0 to 4000,Count (stable) - 0 to 4000,Radix - 0 to 4000,Merge - 0 to 4000,Quick (Hoare) - 0 to 4000,Quick (Lomuto) - 0 to 4000,Heap - 0 to 4000,Selection - half sorted,Bubble (simple) - half sorted,Bubble (Iverson 1) - half sorted,Bubble (Iverson 1-2) - half sorted,Insertion (simple) - half sorted,Insertion (binary) - half sorted,Count (stable) - half sorted,Radix - half sorted,Merge - half sorted,Quick (Hoare) - half sorted,Quick (Lomuto) - half sorted,Heap - half sorted,Selection - reversed,Bubble (simple) - reversed,Bubble (Iverson 1) - reversed,Bubble (Iverson 1-2) - reversed,Insertion (simple) - reversed,Insertion (binary) - reversed,Count (stable) - reversed,Radix - reversed,Merge - reversed,Quick (Hoare) - reversed,Quick (Lomuto) - reversed,Heap - reversed 
50,12500,13900,21600,20000,10000,6500,4100,5900,22600,4300,8700,12300,13400,22500,23200,22400,10000,7300,16400,10000,21600,5900,5000,13800,11500,14700,14800,14000,7500,3600,1800,5600,19400,2800,13900,13400,14400,28800,30000,30000,13800,10600,2400,5400,18200,3100,10300,11500,
60,17400,18700,29100,25600,13300,8000,2000,6200,25700,5600,11900,14200,18300,34400,35200,34800,14900,10500,18600,11100,25300,6500,5900,14800,15600,21400,21500,19200,10900,5000,2300,6000,24200,3300,8000,15600,18900,38700,42500,42800,19700,14800,2800,5800,22600,3500,16900,13300,
70,32700,24500,39000,37900,17700,10300,2300,10700,32500,6300,13900,15600,35600,46700,47800,47800,20300,13900,22800,18100,31200,8000,8600,17700,29900,28900,28700,26400,14400,6300,2300,9300,30100,3600,11900,18100,40600,54800,57500,57800,28900,19700,3100,9100,28900,4500,20000,15400,
80,30000,31300,53100,51300,23200,13400,2500,7400,37200,7400,18800,18100,31400,61200,65400,61400,26200,17600,11000,12500,35600,9600,9500,20700,27400,37700,37700,37400,18400,7700,2600,7000,34400,4600,11900,21200,33800,71000,75500,75600,33500,25300,3500,6500,32900,5000,28900,18000,
90,37400,38800,67500,64900,29300,15900,2700,7100,40800,8300,22200,20000,39100,77500,77900,78200,32900,21400,11100,12800,39700,11000,11900,22900,35200,45500,45500,42400,22600,8100,2700,6800,37700,4800,17800,23400,41600,88200,106600,95600,42700,31500,3800,6600,34400,5600,37100,20400,
100,44800,46800,86400,77900,34900,18300,2900,7500,43000,9300,27800,22900,47400,97300,97600,97900,40600,25700,11700,13500,42000,12200,11900,25800,45600,54400,54600,47000,27000,9100,3000,7100,39900,5400,31200,26200,52800,124700,117400,117900,53600,38300,4200,6900,37900,6200,37800,22800,
110,54500,56000,101500,97700,42300,22100,3000,7900,52700,10000,29500,25000,56300,118200,119100,119400,48600,30400,11800,14100,46900,13300,14700,30000,50500,63000,63500,61500,31600,9600,3400,7700,44900,5700,28700,29700,64900,138000,142000,146200,63200,45900,4600,7500,40800,6900,54300,25100,
120,63300,65700,120600,115100,50000,25700,3200,8100,53800,10900,37300,27100,67100,139500,141400,143300,56700,37000,12400,14800,52400,15300,14700,31400,61300,85100,86300,83900,40900,15300,3200,7800,50000,7000,46600,31900,76500,158700,168100,169400,75400,53900,5000,7600,46900,7300,63700,27400,
130,74300,76000,140900,138000,58200,32900,7400,9100,59200,14800,42000,40300,77400,164000,166600,166700,67300,41100,18200,16000,60100,16200,14900,35000,70000,82500,83500,71200,42000,10300,7700,8300,55900,6800,55800,35000,90600,223300,198400,199100,85300,62800,12200,8200,56300,8400,77100,36200,
140,85100,87700,165300,153800,67000,33300,4100,9500,63600,13000,50800,32700,88800,189300,192900,192400,78100,46800,12800,16300,62700,17800,22200,41300,81500,106300,106700,107300,52200,15800,3800,8600,59600,8700,45500,38900,102500,211000,228500,230200,98800,73000,5100,8400,57300,8300,80600,33000,
150,97100,99400,179200,168500,74800,37100,3700,9000,64800,13800,52900,35200,101000,217700,219900,219400,88400,52500,21300,16800,63800,19300,24800,40900,93300,126100,126800,126300,60600,19300,3800,8700,60600,8200,30600,41500,116300,251700,264700,265100,114500,82900,5800,8700,56400,9300,103800,36000,
160,110000,112200,202300,186900,84000,38700,3900,9600,65900,15100,63000,37300,194700,247900,254000,254400,103600,59300,13900,17600,72600,21000,23500,43800,115400,145400,143400,134800,68500,21500,4100,9200,61100,9200,24900,44600,135100,280200,298200,299900,129100,93800,6200,9200,56800,10300,110400,38400,
170,123600,126200,229200,222800,95800,45800,4500,10800,74000,15300,67800,43800,129200,289200,290900,289300,115400,68000,15200,18400,82700,22600,26000,47700,119200,173700,172200,172900,80600,27600,4300,9700,67000,11300,22300,58000,156600,315600,337100,341000,148200,105800,6500,9500,62700,10500,123100,42100,
180,144400,140400,260800,250300,107400,56300,4800,10600,91300,16600,77400,43300,143300,321400,354600,321800,127200,78500,14200,18900,73500,23600,26100,49700,133700,193800,198300,206800,90400,31100,4500,9900,69700,12300,27400,51300,171300,358100,377500,391900,160600,117500,6800,10600,67500,11200,145000,43800,
190,263100,156000,294500,285700,197000,102000,9300,19800,134500,25800,134500,75600,269400,686300,360100,364200,237900,147900,41300,35100,136500,36800,40900,90200,260600,328200,198900,190900,147800,44400,10100,18400,133200,17600,114800,92600,294000,603800,420500,423900,326500,245100,10600,19900,124600,18800,256000,80800,
200,167400,172500,532000,501900,134000,61900,4700,11100,80900,18000,92100,47200,175000,398500,636100,614700,156700,90000,24500,20300,81900,26300,28900,55200,164400,228500,376100,334800,104900,30700,5100,10600,77300,14000,42500,57100,208900,460700,799000,766900,198600,145300,7500,10600,72500,13000,156500,49200,
210,186300,190700,365200,369600,144100,67300,5300,11500,87400,21500,96400,51200,194100,475400,541300,443700,165200,99200,15600,21000,86500,28200,30000,59400,181700,272400,272000,270100,138400,42100,5100,11000,81800,13800,45900,60600,227700,488000,517100,516900,216800,158200,7700,11100,75900,13600,187000,52300,
220,204400,206300,394100,378300,159500,71200,5100,11700,89500,20100,112400,53300,212000,468600,477600,475400,187000,106000,15600,22400,90200,30300,32400,62300,197700,301700,281000,281100,130200,38900,5600,11300,84600,14400,97800,63400,247600,548300,564700,569600,252200,173500,8000,11600,78200,13600,188900,55100,
230,220100,225100,451300,422600,175900,78600,5700,13500,97700,21700,116100,55700,231000,508200,522200,516900,203400,113000,16100,22500,94700,31900,40500,65400,218900,294800,295500,290300,142400,38800,5700,11800,88300,14900,58600,69800,277300,593900,619400,637700,271200,189400,8700,11700,82200,14700,215600,58500,
240,242000,256500,487100,473700,185600,166300,5900,13300,98900,22800,134400,62000,252600,560100,566800,566700,209800,121100,16500,23200,98700,33400,38100,69500,235600,326600,330500,330200,153000,42300,11200,12100,93200,15400,72600,70600,301700,641700,677000,679100,284000,206300,9300,12300,86100,15200,241600,61500,
250,489900,409500,525900,510700,236000,92500,8400,18500,105000,23900,133700,63600,524000,685300,609600,607100,226000,129900,44300,33000,103000,33900,37200,86000,448000,334300,338300,335500,158800,40800,6100,19200,96800,15100,142400,73700,326100,680800,730800,1013800,306400,225300,9400,19800,88800,15700,346100,64300,
260,282800,287000,580900,559800,217800,100300,6800,13500,110500,24500,146300,66600,295200,656100,725500,659000,244800,140600,34100,24500,108000,35800,39000,76100,276500,366500,385400,352700,174400,44700,6400,24300,99600,15400,81700,77500,346300,751200,786800,798600,331900,241000,9300,24400,92600,16300,290000,67300,
270,304000,308800,620300,610400,243700,109000,7000,14200,112400,25900,166200,68500,312700,694900,705500,704700,275800,148900,17600,26100,113600,38100,44400,79300,300400,381900,385500,372100,183800,43600,10300,24800,107100,18000,51600,81400,383400,827100,956200,857600,377000,259400,9800,24600,97700,17100,306300,70000,
280,327500,329600,664800,643100,263700,115700,6700,14800,118700,27000,169100,73200,335900,742600,765600,759900,298000,162100,18300,25700,133300,39500,44600,83800,317500,446600,450600,450200,209300,59000,6600,25400,125100,17700,79500,85000,411600,885500,913500,1056600,387700,280000,10400,25400,102300,17600,342500,75500,
290,353400,353700,715200,690200,280500,123700,6700,14700,125500,27700,177500,78800,358600,822700,821300,824900,320200,173500,17600,26200,123400,42700,42900,85500,342600,458200,467600,465500,219100,56300,6800,26400,115400,18300,48200,87100,437600,1076600,981500,997500,417000,298800,10600,26200,107500,18300,342500,75600,
300,370800,377600,779700,753000,303800,135600,7000,15700,129200,28400,191200,129700,385400,857900,876800,873000,341600,183300,19400,28400,129300,45100,41700,97100,366800,515400,521900,517000,240200,65800,7400,27000,119100,19300,97200,91000,464300,1007900,1050200,1058300,462000,319300,11800,26600,111200,19500,362200,79100,
